oneTeam,url,two,twoTeam,one
"Ezreal,Zilean,Graves,Singed,Tahm Kench",http://www.op.gg/summoner/matches/ajax/detail/gameId=3333200704&summonerId=74750546&gameTime=1536210346,(Blue Team),"Jax,Yasuo,Alistar,Talon,Lee Sin",(Red Team)
"Kai'Sa,Rakan,Taliyah,Camille,LeBlanc",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332762702&summonerId=74750546&gameTime=1536148206,(Red Team),"Kassadin,Alistar,Ryze,Lee Sin,Tristana",(Blue Team)
"Gragas,Lucian,Darius,Taliyah,Aatrox",http://www.op.gg/summoner/matches/ajax/detail/gameId=3277509937&summonerId=41913808&gameTime=1532007816,(Red Team),"Kled,Rakan,Swain,Camille,Gangplank",(Blue Team)
"Miss Fortune,Camille,Jax,Aatrox,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332735552&summonerId=74750546&gameTime=1536146422,(Blue Team),"Gangplank,Graves,Talon,Alistar,Kai'Sa",(Red Team)
"Ashe,Rakan,Malphite,Xin Zhao,Lissandra",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332721476&summonerId=74750546&gameTime=1536144480,(Blue Team),"Galio,Kai'Sa,Jayce,Shen,Taliyah",(Red Team)
"Dr. Mundo,Graves,Galio,Xayah,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332656291&summonerId=74750546&gameTime=1536143075,(Blue Team),"Fiora,Gragas,Irelia,Yasuo,Rakan",(Red Team)
"Aatrox,Lee Sin,Ryze,Ezreal,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3331584563&summonerId=74750546&gameTime=1536063205,(Blue Team),"Warwick,Taliyah,Fizz,Vayne,Pyke",(Red Team)
"Tristana,Galio,Gragas,Gangplank,Taliyah",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332769870&summonerId=74750546&gameTime=1536149795,(Red Team),"Katarina,Nidalee,Kai'Sa,Pyke,Fiora",(Blue Team)
"Ezreal,Akali,Twisted Fate,Vel'Koz,Camille",http://www.op.gg/summoner/matches/ajax/detail/gameId=3331537230&summonerId=74750546&gameTime=1536061281,(Red Team),"Yasuo,Urgot,Ahri,Xin Zhao,Gragas",(Blue Team)
"Irelia,Tahm Kench,Poppy,Aatrox,Orianna",http://www.op.gg/summoner/matches/ajax/detail/gameId=3332501023&summonerId=74750546&gameTime=1536128251,(Red Team),"Varus,Ryze,Jayce,Braum,Kayn",(Blue Team)
"Aatrox,Nidalee,Irelia,Varus,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3331855820&summonerId=74750546&gameTime=1536074166,(Blue Team),"Ryze,Gragas,Poppy,Ezreal,Alistar",(Red Team)
"Xayah,Yasuo,Gangplank,Shen,Camille",http://www.op.gg/summoner/matches/ajax/detail/gameId=3331343911&summonerId=74750546&gameTime=1536043967,(Red Team),"Irelia,Fiora,Taliyah,Heimerdinger,Alistar",(Blue Team)
"Gnar,Xin Zhao,Irelia,Miss Fortune,Brand",http://www.op.gg/summoner/matches/ajax/detail/gameId=3331289318&summonerId=74750546&gameTime=1536039983,(Blue Team),"Akali,Lee Sin,Aatrox,Kai'Sa,Pyke",(Red Team)
