oneTeam,url,two,twoTeam,one
"Jax,Kennen,Pyke,Sivir,Karma",http://www.op.gg/summoner/matches/ajax/detail/gameId=3364242947&summonerId=41913808&gameTime=1538295647,(Blue Team),"Yasuo,Kai'Sa,Urgot,Kayn,Singed",(Red Team)
"Urgot,Riven,Kai'Sa,Zoe,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3364247794&summonerId=41913808&gameTime=1538296585,(Blue Team),"Jayce,Lucian,Leona,Xerath,Sona",(Red Team)
"Quinn,Bard,Tristana,Malzahar,Lucian",http://www.op.gg/summoner/matches/ajax/detail/gameId=3363483616&summonerId=41913808&gameTime=1538234642,(Blue Team),"Teemo,Garen,Lux,Singed,Kennen",(Red Team)
"Singed,Trundle,Zed,Jinx,Brand",http://www.op.gg/summoner/matches/ajax/detail/gameId=3356200077&summonerId=41913808&gameTime=1537793743,(Red Team),"Zed,Varus,Akali,Thresh,Amumu",(Blue Team)
"Rumble,Graves,Irelia,Swain,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3373823199&summonerId=57541180&gameTime=1538920626,(Red Team),"Urgot,Gragas,Ekko,Kai'Sa,Rakan",(Blue Team)
"Pyke,Jhin,Lee Sin,Yasuo,Nidalee",http://www.op.gg/summoner/matches/ajax/detail/gameId=3356150746&summonerId=41913808&gameTime=1537790722,(Blue Team),"Rengar,Twisted Fate,Lee Sin,Leona,Miss Fortune",(Red Team)
"Kai'Sa,Pyke,Jax,Ivern,LeBlanc",http://www.op.gg/summoner/matches/ajax/detail/gameId=3353161605&summonerId=41913808&gameTime=1537610443,(Red Team),"Jax,Aurelion Sol,Yasuo,Pyke,Blitzcrank",(Blue Team)
"Fizz,Taliyah,Kalista,Pyke,Urgot",http://www.op.gg/summoner/matches/ajax/detail/gameId=3376620466&summonerId=57541180&gameTime=1539094222,(Blue Team),"Thresh,Irelia,Lee Sin,Kai'Sa,Sion",(Red Team)
"Sion,Gragas,Katarina,Tristana,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3373749163&summonerId=57541180&gameTime=1538918013,(Red Team),"Irelia,Camille,Lissandra,Kai'Sa,Leona",(Blue Team)
"Sion,Lee Sin,LeBlanc,Zoe,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3372014134&summonerId=57541180&gameTime=1538823858,(Blue Team),"Akali,Camille,Kassadin,Ezreal,Gragas",(Red Team)
"Kassadin,Lee Sin,Irelia,Corki,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3375397605&summonerId=57541180&gameTime=1539024041,(Blue Team),"Urgot,Taliyah,Yasuo,Ezreal,Lux",(Red Team)
"Urgot,Xin Zhao,Ryze,Lucian,Brand",http://www.op.gg/summoner/matches/ajax/detail/gameId=3368182378&summonerId=57541180&gameTime=1538569621,(Blue Team),"Sion,Olaf,LeBlanc,Yasuo,Pyke",(Red Team)
"Sona,Thresh,Brand,Fizz,Sivir",http://www.op.gg/summoner/matches/ajax/detail/gameId=3365831372&summonerId=57541180&gameTime=1538402414,(Blue Team),"Lulu,Ezreal,Kayle,Vel'Koz,Malphite",(Red Team)
"Jarvan IV,Varus,Renekton,Aatrox,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3366523989&summonerId=57541180&gameTime=1538473017,(Red Team),"Darius,Kha'Zix,Tahm Kench,Kai'Sa,Kled",(Blue Team)
"Zilean,Hecarim,Pyke,Lucian,Corki",http://www.op.gg/summoner/matches/ajax/detail/gameId=3359448520&summonerId=41913808&gameTime=1537964870,(Red Team),"Ornn,Leona,Gragas,Draven,Caitlyn",(Blue Team)
"Urgot,Rengar,Aatrox,Twitch,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369535270&summonerId=41913808&gameTime=1538664806,(Blue Team),"Irelia,Gragas,Akali,Kai'Sa,Soraka",(Red Team)
"Thresh,Kennen,Irelia,Camille,Sion",http://www.op.gg/summoner/matches/ajax/detail/gameId=3363321230&summonerId=57541180&gameTime=1538228906,(Blue Team),"Braum,Kindred,Cassiopeia,Dr. Mundo,Jinx",(Red Team)
"Volibear,Karthus,Viktor,Ezreal,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3364811638&summonerId=57541180&gameTime=1538312671,(Red Team),"Aatrox,Kindred,Akali,Lucian,Pyke",(Blue Team)
"Kindred,Fiora,Karma,Twitch,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3361705066&summonerId=57541180&gameTime=1538136758,(Red Team),"Zoe,Urgot,Kai'Sa,Gragas,Camille",(Blue Team)
"Kassadin,Pyke,Caitlyn,Singed,Vladimir",http://www.op.gg/summoner/matches/ajax/detail/gameId=3360539993&summonerId=57541180&gameTime=1538049729,(Blue Team),"Teemo,Braum,Wukong,Ivern,Ezreal",(Red Team)
"Riven,Nidalee,Aatrox,Yasuo,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3360596559&summonerId=57541180&gameTime=1538052614,(Blue Team),"Sion,Taliyah,Twisted Fate,Kai'Sa,Braum",(Red Team)
"Ornn,Gragas,Xayah,Galio,Camille",http://www.op.gg/summoner/matches/ajax/detail/gameId=3365621751&summonerId=57541180&gameTime=1538398398,(Blue Team),"Taliyah,Lucian,Jayce,Akali,Rakan",(Red Team)
"Yasuo,Kassadin,Ornn,Poppy,Graves",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370562178&summonerId=57541180&gameTime=1538742133,(Blue Team),"Gragas,Viktor,Hecarim,Lee Sin,Sivir",(Red Team)
