url,two,one,oneTeam,result,twoTeam
http://www.op.gg/summoner/matches/ajax/detail/gameId=3364209735&summonerId=25260179&gameTime=1538297798,(Blue Team),(Red Team),"Irelia,Alistar,Kai'Sa,Lee Sin,Akali",Victory,"Thresh,Aatrox,Sejuani,Kalista,Urgot"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3363985025&summonerId=25260179&gameTime=1538287851,(Blue Team),(Red Team),"Akali,Kha'Zix,Irelia,Xayah,Alistar",Victory,"Camille,Taliyah,LeBlanc,Yasuo,Gragas"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3364138342&summonerId=25260179&gameTime=1538295113,(Blue Team),(Red Team),"Urgot,Lee Sin,LeBlanc,Kai'Sa,Karma",Victory,"Aatrox,Gragas,Zoe,Jinx,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3363913885&summonerId=25260179&gameTime=1538283679,(Blue Team),(Red Team),"Poppy,Camille,Nidalee,Xayah,Braum",Victory,"Kai'Sa,Irelia,Sion,Gragas,Lee Sin"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3363158105&summonerId=25260179&gameTime=1538220822,(Blue Team),(Red Team),"Fiora,Kai'Sa,Gragas,Kha'Zix,Akali",Defeat,"Garen,Pyke,Graves,Rakan,Teemo"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3362724563&summonerId=25260179&gameTime=1538213523,(Blue Team),(Red Team),"Lux,Kindred,Veigar,Kai'Sa,Jax",Defeat,"Nami,Akali,Tahm Kench,Varus,Lee Sin"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3363069659&summonerId=25260179&gameTime=1538219622,(Blue Team),(Red Team),"Urgot,Xin Zhao,Yasuo,Kai'Sa,Gragas",Victory,"Jax,Taliyah,Aatrox,Lucian,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3361177639&summonerId=25260179&gameTime=1538122158,(Blue Team),(Red Team),"Sion,Jhin,Leona,Irelia,Taliyah",Victory,"Gragas,Urgot,Ekko,Lucian,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3370560032&summonerId=74750546&gameTime=1538742353,(Blue Team),(Red Team),"Tristana,Aatrox,Alistar,Ekko,Kindred",Victory,"Gragas,Poppy,Lucian,Jayce,Urgot"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3370656532&summonerId=74750546&gameTime=1538747532,(Red Team),(Blue Team),"Poppy,Taliyah,LeBlanc,Tristana,Thresh",Victory,"Urgot,Gragas,Kassadin,Kai'Sa,Alistar"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3361109462&summonerId=25260179&gameTime=1538118432,(Red Team),(Blue Team),"Urgot,Gragas,Xin Zhao,Kai'Sa,Sion",Defeat,"Jayce,Taliyah,Thresh,Ryze,Lucian"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3360993711&summonerId=25260179&gameTime=1538099648,(Red Team),(Blue Team),"Kai'Sa,Renekton,Nidalee,Jax,Nautilus",Victory,"LeBlanc,Janna,Lulu,Cho'Gath,Talon"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3370457640&summonerId=74750546&gameTime=1538739159,(Red Team),(Blue Team),"Taliyah,Tristana,Rakan,Darius,Ekko",Defeat,"Kai'Sa,Jayce,Thresh,Graves,Lissandra"
