"gameid","gametype","blue","red","resulta","url","SPLIT_STR(blue,',', 1)","SPLIT_STR(blue,',', 2)","SPLIT_STR(blue,',', 3)","SPLIT_STR(blue,',', 4)","SPLIT_STR(blue,',', 5)","SPLIT_STR(red,',',1)","SPLIT_STR(red,',',2)","SPLIT_STR(red,',',3)","SPLIT_STR(red,',',4)","SPLIT_STR(red,',',5)"
"3214134192","Ranked Solo","Xin Zhao,Cassiopeia,Cho'Gath,Tristana,Nautilus","Trundle,Braum,Kog'Maw,Vladimir,Ornn","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214134192&summonerId=64250795&gameTime=1527008295","Xin Zhao","Cassiopeia","Cho'Gath","Tristana","Nautilus","Trundle","Braum","Kog'Maw","Vladimir","Ornn"
"3214134192","Ranked Solo","Xin Zhao,Cassiopeia,Cho'Gath,Tristana,Nautilus","Trundle,Braum,Kog'Maw,Vladimir,Ornn","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214134192&summonerId=64250795&gameTime=1527008295","Xin Zhao","Cassiopeia","Cho'Gath","Tristana","Nautilus","Trundle","Braum","Kog'Maw","Vladimir","Ornn"
"3214168596","Ranked Solo","Camille,Lee Sin,LeBlanc,Ezreal,Shen","Irelia,Xin Zhao,Vladimir,Vayne,Alistar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214168596&summonerId=41913808&gameTime=1527011996","Camille","Lee Sin","LeBlanc","Ezreal","Shen","Irelia","Xin Zhao","Vladimir","Vayne","Alistar"
"3214230221","Ranked Solo","Jayce,Nidalee,Irelia,Lucian,Blitzcrank","Sion,Graves,Poppy,Ezreal,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214230221&summonerId=64250795&gameTime=1527012015","Jayce","Nidalee","Irelia","Lucian","Blitzcrank","Sion","Graves","Poppy","Ezreal","Alistar"
"3214230221","Ranked Solo","Jayce,Nidalee,Irelia,Lucian,Blitzcrank","Sion,Graves,Poppy,Ezreal,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214230221&summonerId=64250795&gameTime=1527012015","Jayce","Nidalee","Irelia","Lucian","Blitzcrank","Sion","Graves","Poppy","Ezreal","Alistar"
"3214230221","Ranked Solo","Jayce,Nidalee,Irelia,Lucian,Blitzcrank","Sion,Graves,Poppy,Ezreal,Alistar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214230221&summonerId=25260179&gameTime=1527012015","Jayce","Nidalee","Irelia","Lucian","Blitzcrank","Sion","Graves","Poppy","Ezreal","Alistar"
"3214230221","Ranked Solo","Jayce,Nidalee,Irelia,Lucian,Blitzcrank","Sion,Graves,Poppy,Ezreal,Alistar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214230221&summonerId=25260179&gameTime=1527012015","Jayce","Nidalee","Irelia","Lucian","Blitzcrank","Sion","Graves","Poppy","Ezreal","Alistar"
"3214232081","Ranked Solo","Irelia,Nidalee,Zoe,Vayne,Janna","Camille,Lee Sin,Blitzcrank,Yasuo,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214232081&summonerId=64250795&gameTime=1527013813","Irelia","Nidalee","Zoe","Vayne","Janna","Camille","Lee Sin","Blitzcrank","Yasuo","Ezreal"
"3214232081","Ranked Solo","Irelia,Nidalee,Zoe,Vayne,Janna","Camille,Lee Sin,Blitzcrank,Yasuo,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214232081&summonerId=64250795&gameTime=1527013813","Irelia","Nidalee","Zoe","Vayne","Janna","Camille","Lee Sin","Blitzcrank","Yasuo","Ezreal"
"3214232081","Ranked Solo","Irelia,Nidalee,Zoe,Vayne,Janna","Camille,Lee Sin,Blitzcrank,Yasuo,Ezreal","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214232081&summonerId=25260179&gameTime=1527013813","Irelia","Nidalee","Zoe","Vayne","Janna","Camille","Lee Sin","Blitzcrank","Yasuo","Ezreal"
"3214232081","Ranked Solo","Irelia,Nidalee,Zoe,Vayne,Janna","Camille,Lee Sin,Blitzcrank,Yasuo,Ezreal","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214232081&summonerId=25260179&gameTime=1527013813","Irelia","Nidalee","Zoe","Vayne","Janna","Camille","Lee Sin","Blitzcrank","Yasuo","Ezreal"
"3214235521","Ranked Solo","Gangplank,Lee Sin,Yasuo,Ezreal,Alistar","Karma,Rek'Sai,Fizz,Kai'Sa,Thresh","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214235521&summonerId=64250795&gameTime=1527018388","Gangplank","Lee Sin","Yasuo","Ezreal","Alistar","Karma","Rek'Sai","Fizz","Kai'Sa","Thresh"
"3214251195","Ranked Solo","Fiora,Kha'Zix,Zoe,Jhin,Thresh","Irelia,Xin Zhao,Vladimir,Ezreal,Tahm Kench","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214251195&summonerId=41913808&gameTime=1527014524","Fiora","Kha'Zix","Zoe","Jhin","Thresh","Irelia","Xin Zhao","Vladimir","Ezreal","Tahm Kench"
"3214253424","Ranked Solo","Tristana,Ryze,Taric,Xin Zhao,Camille","Dr. Mundo,Zyra,Twisted Fate,Ezreal,Jax","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214253424&summonerId=64250795&gameTime=1527015986","Tristana","Ryze","Taric","Xin Zhao","Camille","Dr. Mundo","Zyra","Twisted Fate","Ezreal","Jax"
"3214432909","Ranked Solo","Trundle,Kennen,Irelia,Ezreal,Janna","Alistar,Kha'Zix,Darius,Varus,Renekton","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214432909&summonerId=56951349&gameTime=1527046832","Trundle","Kennen","Irelia","Ezreal","Janna","Alistar","Kha'Zix","Darius","Varus","Renekton"
"3214437023","Ranked Solo","Braum,Darius,Kog'Maw,Shaco,Vladimir","Karma,Nocturne,Poppy,Kai'Sa,Soraka","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214437023&summonerId=64250795&gameTime=1527051369","Braum","Darius","Kog'Maw","Shaco","Vladimir","Karma","Nocturne","Poppy","Kai'Sa","Soraka"
"3214491490","Ranked Solo","Gangplank,Olaf,Yasuo,Kai'Sa,Morgana","Darius,Trundle,Renekton,Ezreal,Karma","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214491490&summonerId=56951349&gameTime=1527045150","Gangplank","Olaf","Yasuo","Kai'Sa","Morgana","Darius","Trundle","Renekton","Ezreal","Karma"
